A4GALT
AAAS
AAGAB
AARS
AARS2
AASS
ABAT
ABCA1
ABCA12
ABCA3
ABCA4
ABCA5
ABCB1
ABCB11
ABCB4
ABCB6
ABCB7
ABCC11
ABCC2
ABCC6
ABCC8
ABCC9
ABCD1
ABCD4
ABCG2
ABCG8
ABHD12
ABHD5
ABL1
ABO
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAN
ACAT1
ACE
ACKR1
ACO2
ACOX1
ACP5
ACSF3
ACSL4
ACTA1
ACTA2
ACTB
ACTG1
ACTG2
ACTN1
ACTN2
ACTN3
ACTN4
ACTRT1
ACVR1
ACVR1B
ACVR2B
ACVRL1
ADA
ADAM10
ADAM17
ADAM9
ADAMTS10
ADAMTS13
ADAMTS17
ADAMTS18
ADAMTS2
ADAMTSL2
ADAMTSL4
ADAR
ADAT3
ADCK3
ADCK4
ADCY1
ADCY5
ADK
ADNP
ADRA2A
ADRB1
ADSL
AFF2
AFG3L2
AFP
AGA
AGBL1
AGK
AGL
AGPAT2
AGPS
AGRN
AGTR1
AGXT
AHCY
AHDC1
AHI1
AICDA
AIFM1
AIMP1
AIPL1
AIRE
AK1
AK2
AKAP9
AKR1C2
AKR1D1
AKT1
AKT2
AKT3
ALAD
ALAS2
ALDH18A1
ALDH1A3
ALDH3A2
ALDH4A1
ALDH5A1
ALDH7A1
ALDOA
ALDOB
ALG1
ALG11
ALG12
ALG13
ALG14
ALG2
ALG3
ALG6
ALG8
ALG9
ALK
ALMS1
ALOX12B
ALOXE3
ALPL
ALPP
ALS2
ALX1
ALX3
ALX4
AMELX
AMER1
AMH
AMHR2
AMN
AMPD1
AMPD2
AMPD3
AMT
ANK1
ANK2
ANK3
ANKH
ANKK1
ANKRD11
ANKRD26
ANKS6
ANLN
ANO10
ANO3
ANO5
ANO6
ANTXR1
ANTXR2
AP1S1
AP1S2
AP2S1
AP3B1
AP4B1
AP4E1
AP4M1
AP4S1
AP5Z1
APC
APCDD1
APOA1
APOA2
APOA4
APOA5
APOB
APOC2
APOC3
APOE
APOH
APOPT1
APP
APRT
APTX
AQP1
AQP2
AQP3
AQP5
AR
ARFGEF2
ARHGAP26
ARHGAP31
ARHGDIA
ARHGEF10
ARHGEF6
ARHGEF9
ARID1A
ARID1B
ARL13B
ARL14EP
ARL2BP
ARL6
ARL6IP1
ARMC4
ARMC5
ARSA
ARSB
ARSE
ART4
ARV1
ASAH1
ASB10
ASCC1
ASCL1
ASL
ASNS
ASPA
ASPH
ASPM
ASS1
ASXL1
ASXL3
ATCAY
ATIC
ATL1
ATL3
ATM
ATN1
ATOH7
ATP13A2
ATP1A1
ATP1A2
ATP1A3
ATP2A1
ATP2A2
ATP2B3
ATP2C1
ATP5A1
ATP6AP2
ATP6V0A2
ATP6V0A4
ATP6V1B1
ATP7A
ATP7B
ATP8A2
ATP8B1
ATPAF2
ATRX
ATXN1
ATXN10
ATXN2
ATXN3
ATXN7
ATXN8
AUH
AURKAIP1
AURKC
AUTS2
AVPR2
AXIN1
AXIN2
B2M
B3GALNT1
B3GALNT2
B3GALT6
B3GALTL
B3GAT3
B4GALNT1
B4GALT1
B4GALT7
B4GAT1
B9D1
B9D2
BAAT
BAG3
BANF1
BANK1
BARD1
BAX
BBIP1
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BCAP31
BCAT2
BCHE
BCKDHA
BCKDHB
BCKDK
BCL10
BCL11A
BCO1
BCOR
BCS1L
BDNF
BEAN1
BEST1
BFSP1
BHLHA9
BICD2
BIN1
BLK
BLM
BLNK
BLOC1S3
BLOC1S6
BLVRA
BMP1
BMP15
BMP2
BMP4
BMPER
BMPR1A
BMPR1B
BMPR2
BMS1
BOLA3
BPGM
BRAF
BRAT1
BRCA1
BRCA2
BRWD3
BSCL2
BSG
BSND
BTD
BTK
BUB1
BUB1B
C10orf11
C10orf2
C12orf4
C12orf57
C12orf65
C15orf41
C19orf12
C1GALT1C1
C1QA
C1QB
C1QC
C1S
C2
C21orf59
C2CD3
C2orf71
C3
C4A
C4orf26
C5
C5orf42
C8A
C8B
C8orf37
C9
C9orf72
CA1
CA12
CA2
CA4
CA5A
CA8
CABP2
CABP4
CACNA1A
CACNA1C
CACNA1D
CACNA1F
CACNA1G
CACNA1H
CACNA1S
CACNA2D4
CACNB2
CACNB4
CACNG2
CALM1
CALM2
CALR
CALR3
CAMTA1
CANT1
CAPN3
CAPN5
CARD11
CARD14
CARD9
CASC5
CASK
CASP10
CASP8
CASQ1
CASQ2
CASR
CAT
CATSPER1
CAV1
CAV3
CBL
CBS
CBX2
CC2D1A
CC2D2A
CCBE1
CCDC103
CCDC114
CCDC151
CCDC170
CCDC39
CCDC40
CCDC50
CCDC65
CCDC78
CCDC8
CCDC88C
CCL11
CCL2
CCL5
CCM2
CCND2
CCNO
CCR2
CCR5
CCSER1
CCT5
CCT7
CD151
CD19
CD207
CD247
CD2AP
CD320
CD36
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD55
CD59
CD79A
CD79B
CD81
CD8A
CD96
CDAN1
CDC6
CDC73
CDH15
CDH23
CDH9
CDHR1
CDK16
CDK4
CDK5RAP2
CDK6
CDKL5
CDKN1B
CDKN1C
CDKN2A
CDON
CDT1
CEACAM16
CEBPA
CEBPE
CECR1
CEL
CENPE
CENPJ
CEP135
CEP152
CEP164
CEP19
CEP290
CEP41
CEP57
CEP63
CEP83
