AAAS
ABAT
ABCA12
ABCB11
ABCC2
ABCC6
ABCD3
ABCG5
ABCG8
ACADL
ACADM
ACADS
ACADVL
ACAT1
ACE
ADA
ADAMTS2
ADSL
AGA
AGL
AGPAT2
AGPS
AGTR1
AGXT
AHCY
AICDA
AIPL1
ALAD
ALDH3A2
ALDH4A1
ALDH5A1
ALDOA
ALDOB
ALG3
ALG6
ALOX12B
ALOXE3
ALPL
ALS2
AMH
AMHR2
AMN
AMT
ANTXR2
AP3B1
APOB
APOC2
APOE
APRT
APTX
AQP2
ARSA
ARSB
ASAH1
ASL
ASPA
ASPM
ASS1
ATCAY
ATIC
ATM
ATP2A1
ATP6V1B1
ATP7B
ATP8B1
AUH
B4GALT7
BBS1
BBS2
BBS4
BBS7
BCHE
BCKDHA
BCKDHB
BLM
BLOC1S3
BTD
C1R
C2
C4A
CA2
CAPN3
CASQ2
CBS
CD40
CDAN1
CDH15
CDH23
CEP290
CFTR
CHAT
CHRNB1
CHRNE
CHST6
CLCN1
CLCN7
CLCNKB
CLDN16
CLN3
CLN5
CLN6
CLN8
CLRN1
CNGA3
CNGB3
COL17A1
COL18A1
COL4A3
COL4A4
COL6A1
COL6A2
COL6A3
COLQ
COMT
CP
CPT1A
CPT2
CRB1
CRLF1
CSF2RB
CSTB
CTDP1
CTNS
CTSA
CTSC
CTSD
CTSK
CXCL10
CYB5R3
CYBA
CYP11A1
CYP11B1
CYP11B2
CYP17A1
CYP21A2
CYP27A1
CYP27B1
CYP2C19
CYP2D6
DBH
DBT
DDB2
DDC
DECR1
DHCR24
DHCR7
DLD
DLL3
DNAH11
DNAI1
DNMT3B
DPAGT1
DPM1
DPYD
DPYS
DSP
DTNBP1
DYSF
ECM1
EDAR
EDARADD
EDN3
EDNRB
EFHC1
EIF2AK3
EIF2B1
EIF2B2
EIF2B3
EIF2B4
EIF2B5
ELANE
ENAM
ENO3
ENPP1
EPB41
EPM2A
EPX
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERCC8
ETFA
ETFB
EVC
EVC2
F10
F12
F13A1
F13B
F5
F7
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCL
FANCM
FBLN5
FBP1
FGA
FGB
FGF23
FGFR2
FGG
FH
FKRP
FKTN
FLNB
FMO3
FOXE1
FOXN1
FTCD
FUCA1
FUT1
FXN
G6PC
GAA
GALC
GALE
GALK1
GALNS
GALT
GAN
GBE1
GCDH
GCH1
GCLC
GCSH
GDAP1
GDF5
GGCX
GGT1
GHR
GHRHR
GJB3
GLB1
GLI3
GM2A
GNE
GNMT
GNPAT
GNPTAB
GNPTG
GNRHR
GP1BA
GP1BB
GP9
GPR56
GPX1
GRK1
GSR
GUSB
GYS2
HAL
HESX1
HEXA
HEXB
HFE
HGD
HLCS
HMGCL
HPD
HPS1
HPS3
HPS4
HPS5
HPS6
HR
HSD11B2
HSD17B3
HSD17B4
